round,timestamp,result
50,2025-11-01T13:26:33.541241,P
51,2025-11-01T13:26:34.541244,P
52,2025-11-01T13:26:35.541247,B
53,2025-11-01T13:26:36.541256,P
54,2025-11-01T13:26:37.541262,P
55,2025-11-01T13:26:38.541268,P
56,2025-11-01T13:26:39.541273,B
57,2025-11-01T13:26:40.541279,B
58,2025-11-01T13:26:41.541284,P
59,2025-11-01T13:26:42.541287,P
60,2025-11-01T13:26:43.541290,B
61,2025-11-01T13:26:44.541294,P
62,2025-11-01T13:26:45.541297,B
63,2025-11-01T13:26:46.541300,P
64,2025-11-01T13:26:47.541303,P
65,2025-11-01T13:26:48.541307,B
66,2025-11-01T13:26:49.541311,B
67,2025-11-01T13:26:50.541314,B
68,2025-11-01T13:26:51.541317,B
69,2025-11-01T13:26:52.541320,B
70,2025-11-01T13:26:53.541324,B
71,2025-11-01T13:26:54.541327,P
72,2025-11-01T13:26:55.541330,T
73,2025-11-01T13:26:56.541334,B
74,2025-11-01T13:26:57.541337,T
75,2025-11-01T13:26:58.541340,P
76,2025-11-01T13:26:59.541344,B
77,2025-11-01T13:27:00.541347,B
78,2025-11-01T13:27:01.541350,P
79,2025-11-01T13:27:02.541354,P
80,2025-11-01T13:27:03.541357,B
81,2025-11-01T13:27:04.541360,P
82,2025-11-01T13:27:05.541364,P
83,2025-11-01T13:27:06.541367,P
84,2025-11-01T13:27:07.541370,P
85,2025-11-01T13:27:08.541374,B
86,2025-11-01T13:27:09.541377,B
87,2025-11-01T13:27:10.541380,B
88,2025-11-01T13:27:11.541383,B
89,2025-11-01T13:27:12.541387,B
90,2025-11-01T13:27:13.541390,B
91,2025-11-01T13:27:14.541394,B
92,2025-11-01T13:27:15.541397,B
93,2025-11-01T13:27:16.541401,B
94,2025-11-01T13:27:17.541404,B
95,2025-11-01T13:27:18.541407,B
96,2025-11-01T13:27:19.541410,P
97,2025-11-01T13:27:20.541414,P
98,2025-11-01T13:27:21.541417,P
99,2025-11-01T13:27:22.541420,B
100,2025-11-01T13:27:23.541424,B
101,2025-11-01T13:27:24.541427,P
102,2025-11-01T13:27:25.541430,B
103,2025-11-01T13:27:26.541434,B
104,2025-11-01T13:27:27.541437,P
105,2025-11-01T13:27:28.541440,P
106,2025-11-01T13:27:29.541444,P
107,2025-11-01T13:27:30.541447,P
108,2025-11-01T13:27:31.541450,B
109,2025-11-01T13:27:32.541454,T
110,2025-11-01T13:27:33.541458,P
111,2025-11-01T13:27:34.541461,P
112,2025-11-01T13:27:35.541464,B
113,2025-11-01T13:27:36.541467,B
114,2025-11-01T13:27:37.541471,P
115,2025-11-01T13:27:38.541474,B
116,2025-11-01T13:27:39.541477,B
117,2025-11-01T13:27:40.541481,P
118,2025-11-01T13:27:41.541484,P
119,2025-11-01T13:27:42.541487,P
120,2025-11-01T13:27:43.541491,T
121,2025-11-01T13:27:44.541494,T
122,2025-11-01T13:27:45.541497,P
123,2025-11-01T13:27:46.541500,B
124,2025-11-01T13:27:47.541504,B
125,2025-11-01T13:27:48.541507,P
126,2025-11-01T13:27:49.541510,B
127,2025-11-01T13:27:50.541514,B
128,2025-11-01T13:27:51.541517,T
129,2025-11-01T13:27:52.541521,P
130,2025-11-01T13:27:53.541524,P
131,2025-11-01T13:27:54.541528,B
132,2025-11-01T13:27:55.541531,B
133,2025-11-01T13:27:56.541534,B
134,2025-11-01T13:27:57.541537,P
135,2025-11-01T13:27:58.541541,B
136,2025-11-01T13:27:59.541544,P
137,2025-11-01T13:28:00.541547,P
138,2025-11-01T13:28:01.541551,B
139,2025-11-01T13:28:02.541556,B
140,2025-11-01T13:28:03.541559,T
141,2025-11-01T13:28:04.541562,P
142,2025-11-01T13:28:05.541566,B
143,2025-11-01T13:28:06.541569,P
144,2025-11-01T13:28:07.541572,B
145,2025-11-01T13:28:08.541576,P
146,2025-11-01T13:28:09.541579,P
147,2025-11-01T13:28:10.541582,B
148,2025-11-01T13:28:11.541586,B
149,2025-11-01T13:28:12.541590,T
150,2025-11-01T13:28:13.541594,P
151,2025-11-01T13:28:14.541597,P
152,2025-11-01T13:28:15.541600,B
153,2025-11-01T13:28:16.541604,P
154,2025-11-01T13:28:17.541607,B
155,2025-11-01T13:28:18.541610,P
156,2025-11-01T13:28:19.541614,P
157,2025-11-01T13:28:20.541617,B
158,2025-11-01T13:28:21.541620,P
159,2025-11-01T13:28:22.541624,T
160,2025-11-01T13:28:23.541627,B
161,2025-11-01T13:28:24.541630,P
162,2025-11-01T13:28:25.541634,P
163,2025-11-01T13:28:26.541637,T
164,2025-11-01T13:28:27.541640,T
165,2025-11-01T13:28:28.541644,P
166,2025-11-01T13:28:29.541647,B
167,2025-11-01T13:28:30.541650,P
168,2025-11-01T13:28:31.541654,P
169,2025-11-01T13:28:32.541657,P
170,2025-11-01T13:28:33.541660,B
171,2025-11-01T13:28:34.541664,B
172,2025-11-01T13:28:35.541667,P
173,2025-11-01T13:28:36.541671,P
174,2025-11-01T13:28:37.541675,P
175,2025-11-01T13:28:38.541678,B
176,2025-11-01T13:28:39.541681,B
177,2025-11-01T13:28:40.541684,B
178,2025-11-01T13:28:41.541688,B
179,2025-11-01T13:28:42.541691,P
180,2025-11-01T13:28:43.541694,T
181,2025-11-01T13:28:44.541698,P
182,2025-11-01T13:28:45.541701,P
183,2025-11-01T13:28:46.541704,B
184,2025-11-01T13:28:47.541708,B
185,2025-11-01T13:28:48.541711,B
186,2025-11-01T13:28:49.541714,P
187,2025-11-01T13:28:50.541717,B
188,2025-11-01T13:28:51.541721,B
189,2025-11-01T13:28:52.541724,B
190,2025-11-01T13:28:53.541728,B
191,2025-11-01T13:28:54.541731,P
192,2025-11-01T13:28:55.541734,B
193,2025-11-01T13:28:56.541737,B
194,2025-11-01T13:28:57.541741,B
195,2025-11-01T13:28:58.541744,P
196,2025-11-01T13:28:59.541748,B
197,2025-11-01T13:29:00.541751,P
198,2025-11-01T13:29:01.541755,P
199,2025-11-01T13:29:02.541758,P
200,2025-11-01T13:29:03.541761,B
201,2025-11-01T13:29:04.541765,B
202,2025-11-01T13:29:05.541769,B
203,2025-11-01T13:29:06.541772,P
204,2025-11-01T13:29:07.541775,B
205,2025-11-01T13:29:08.541778,B
206,2025-11-01T13:29:09.541782,P
207,2025-11-01T13:29:10.541785,P
208,2025-11-01T13:29:11.541788,B
209,2025-11-01T13:29:12.541792,T
210,2025-11-01T13:29:13.541795,B
211,2025-11-01T13:29:14.541798,B
212,2025-11-01T13:29:15.541802,B
213,2025-11-01T13:29:16.541805,B
214,2025-11-01T13:29:17.541808,B
215,2025-11-01T13:29:18.541811,B
216,2025-11-01T13:29:19.541815,P
217,2025-11-01T13:29:20.541818,P
218,2025-11-01T13:29:21.541821,P
219,2025-11-01T13:29:22.541825,P
220,2025-11-01T13:29:23.541829,P
221,2025-11-01T13:29:24.541835,P
222,2025-11-01T13:29:25.541841,B
223,2025-11-01T13:29:26.541847,P
224,2025-11-01T13:29:27.541852,B
225,2025-11-01T13:29:28.541858,B
226,2025-11-01T13:29:29.541863,B
227,2025-11-01T13:29:30.541869,P
228,2025-11-01T13:29:31.541873,P
229,2025-11-01T13:29:32.541876,T
230,2025-11-01T13:29:33.541879,P
231,2025-11-01T13:29:34.541883,P
232,2025-11-01T13:29:35.541886,T
233,2025-11-01T13:29:36.541890,P
234,2025-11-01T13:29:37.541894,B
235,2025-11-01T13:29:38.541897,P
236,2025-11-01T13:29:39.541900,B
237,2025-11-01T13:29:40.541904,T
238,2025-11-01T13:29:41.541907,B
239,2025-11-01T13:29:42.541911,T
240,2025-11-01T13:29:43.541914,P
241,2025-11-01T13:29:44.541918,B
242,2025-11-01T13:29:45.541921,B
243,2025-11-01T13:29:46.541924,B
244,2025-11-01T13:29:47.541928,B
245,2025-11-01T13:29:48.542014,P
246,2025-11-01T13:29:49.542034,P
247,2025-11-01T13:29:50.542039,B
248,2025-11-01T13:29:51.542044,P
249,2025-11-01T13:29:52.542048,B
250,2025-11-01T13:29:53.542051,P
251,2025-11-01T13:29:54.542055,P
252,2025-11-01T13:29:55.542058,P
253,2025-11-01T13:29:56.542062,B
254,2025-11-01T13:29:57.542066,B
255,2025-11-01T13:29:58.542070,P
256,2025-11-01T13:29:59.542074,P
257,2025-11-01T13:30:00.542078,T
258,2025-11-01T13:30:01.542082,B
259,2025-11-01T13:30:02.542085,B
260,2025-11-01T13:30:03.542088,B
261,2025-11-01T13:30:04.542092,B
262,2025-11-01T13:30:05.542095,P
263,2025-11-01T13:30:06.542099,P
264,2025-11-01T13:30:07.542103,P
265,2025-11-01T13:30:08.542106,P
266,2025-11-01T13:30:09.542110,P
267,2025-11-01T13:30:10.542113,T
268,2025-11-01T13:30:11.542117,P
269,2025-11-01T13:30:12.542120,T
270,2025-11-01T13:30:13.542124,P
271,2025-11-01T13:30:14.542127,P
272,2025-11-01T13:30:15.542131,B
273,2025-11-01T13:30:16.542134,B
274,2025-11-01T13:30:17.542137,T
275,2025-11-01T13:30:18.542141,B
276,2025-11-01T13:30:19.542144,P
277,2025-11-01T13:30:20.542148,B
278,2025-11-01T13:30:21.542151,B
279,2025-11-01T13:30:22.542154,P
280,2025-11-01T13:30:23.542158,P
281,2025-11-01T13:30:24.542161,B
282,2025-11-01T13:30:25.542165,B
283,2025-11-01T13:30:26.542168,B
284,2025-11-01T13:30:27.542171,B
285,2025-11-01T13:30:28.542175,B
286,2025-11-01T13:30:29.542178,P
287,2025-11-01T13:30:30.542182,P
288,2025-11-01T13:30:31.542185,B
289,2025-11-01T13:30:32.542188,B
290,2025-11-01T13:30:33.542192,T
291,2025-11-01T13:30:34.542195,P
292,2025-11-01T13:30:35.542199,B
293,2025-11-01T13:30:36.542202,P
294,2025-11-01T13:30:37.542205,B
295,2025-11-01T13:30:38.542209,B
296,2025-11-01T13:30:39.542212,B
297,2025-11-01T13:30:40.542216,B
298,2025-11-01T13:30:41.542219,T
299,2025-11-01T13:30:42.542222,B
300,2025-11-01T13:30:43.542226,P
301,2025-11-01T13:30:44.542229,B
302,2025-11-01T13:30:45.542232,B
303,2025-11-01T13:30:46.542236,B
304,2025-11-01T13:30:47.542239,P
305,2025-11-01T13:30:48.542242,B
306,2025-11-01T13:30:49.542246,P
307,2025-11-01T13:30:50.542249,P
308,2025-11-01T13:30:51.542252,B
309,2025-11-01T13:30:52.542256,P
310,2025-11-01T13:30:53.542261,P
311,2025-11-01T13:30:54.542264,P
312,2025-11-01T13:30:55.542268,B
313,2025-11-01T13:30:56.542271,B
314,2025-11-01T13:30:57.542274,P
315,2025-11-01T13:30:58.542278,P
316,2025-11-01T13:30:59.542281,B
317,2025-11-01T13:31:00.542284,P
318,2025-11-01T13:31:01.542288,B
319,2025-11-01T13:31:02.542291,B
320,2025-11-01T13:31:03.542295,P
321,2025-11-01T13:31:04.542298,B
322,2025-11-01T13:31:05.542302,P
323,2025-11-01T13:31:06.542305,B
324,2025-11-01T13:31:07.542309,T
325,2025-11-01T13:31:08.542312,P
326,2025-11-01T13:31:09.542315,P
327,2025-11-01T13:31:10.542319,B
328,2025-11-01T13:31:11.542322,P
329,2025-11-01T13:31:12.542326,B
330,2025-11-01T13:31:13.542329,P
331,2025-11-01T13:31:14.542332,P
332,2025-11-01T13:31:15.542336,P
333,2025-11-01T13:31:16.542340,P
334,2025-11-01T13:31:17.542343,B
335,2025-11-01T13:31:18.542346,B
336,2025-11-01T13:31:19.542350,P
337,2025-11-01T13:31:20.542353,B
338,2025-11-01T13:31:21.542357,P
339,2025-11-01T13:31:22.542360,B
340,2025-11-01T13:31:23.542363,B
341,2025-11-01T13:31:24.542367,P
342,2025-11-01T13:31:25.542370,P
343,2025-11-01T13:31:26.542373,B
344,2025-11-01T13:31:27.542377,P
345,2025-11-01T13:31:28.542380,P
346,2025-11-01T13:31:29.542384,P
347,2025-11-01T13:31:30.542387,P
348,2025-11-01T13:31:31.542390,B
349,2025-11-01T13:31:32.542394,P
350,2025-11-01T13:31:33.542397,T
351,2025-11-01T13:31:34.542400,B
352,2025-11-01T13:31:35.542404,P
353,2025-11-01T13:31:36.542407,P
354,2025-11-01T13:31:37.542411,P
355,2025-11-01T13:31:38.542414,B
356,2025-11-01T13:31:39.542418,B
357,2025-11-01T13:31:40.542421,B
358,2025-11-01T13:31:41.542424,T
359,2025-11-01T13:31:42.542428,P
360,2025-11-01T13:31:43.542431,B
361,2025-11-01T13:31:44.542434,B
362,2025-11-01T13:31:45.542438,P
363,2025-11-01T13:31:46.542441,P
364,2025-11-01T13:31:47.542445,P
365,2025-11-01T13:31:48.542448,P
366,2025-11-01T13:31:49.542451,B
367,2025-11-01T13:31:50.542455,P
368,2025-11-01T13:31:51.542458,T
369,2025-11-01T13:31:52.542462,P
370,2025-11-01T13:31:53.542465,P
371,2025-11-01T13:31:54.542468,P
372,2025-11-01T13:31:55.542472,P
373,2025-11-01T13:31:56.542476,B
374,2025-11-01T13:31:57.542479,P
375,2025-11-01T13:31:58.542483,P
376,2025-11-01T13:31:59.542486,B
377,2025-11-01T13:32:00.542489,T
378,2025-11-01T13:32:01.542493,P
379,2025-11-01T13:32:02.542496,P
380,2025-11-01T13:32:03.542499,T
381,2025-11-01T13:32:04.542503,P
382,2025-11-01T13:32:05.542506,B
383,2025-11-01T13:32:06.542510,P
384,2025-11-01T13:32:07.542513,T
385,2025-11-01T13:32:08.542516,B
386,2025-11-01T13:32:09.542520,B
387,2025-11-01T13:32:10.542523,T
388,2025-11-01T13:32:11.542526,T
389,2025-11-01T13:32:12.542530,P
390,2025-11-01T13:32:13.542533,B
391,2025-11-01T13:32:14.542537,B
392,2025-11-01T13:32:15.542540,B
393,2025-11-01T13:32:16.542546,B
394,2025-11-01T13:32:17.542549,P
395,2025-11-01T13:32:18.542552,B
396,2025-11-01T13:32:19.542556,P
397,2025-11-01T13:32:20.542559,P
398,2025-11-01T13:32:21.542563,P
399,2025-11-01T13:32:22.542566,B
400,2025-11-01T13:32:23.542570,B
401,2025-11-01T13:32:24.542573,B
402,2025-11-01T13:32:25.542576,P
403,2025-11-01T13:32:26.542580,B
404,2025-11-01T13:32:27.542583,P
405,2025-11-01T13:32:28.542586,B
406,2025-11-01T13:32:29.542590,T
407,2025-11-01T13:32:30.542593,B
408,2025-11-01T13:32:31.542597,P
409,2025-11-01T13:32:32.542600,P
410,2025-11-01T13:32:33.542603,P
411,2025-11-01T13:32:34.542607,B
412,2025-11-01T13:32:35.542610,B
413,2025-11-01T13:32:36.542613,B
414,2025-11-01T13:32:37.542617,P
415,2025-11-01T13:32:38.542620,T
416,2025-11-01T13:32:39.542623,P
417,2025-11-01T13:32:40.542628,B
418,2025-11-01T13:32:41.542631,P
419,2025-11-01T13:32:42.542635,B
420,2025-11-01T13:32:43.542638,P
421,2025-11-01T13:32:44.542641,B
422,2025-11-01T13:32:45.542645,B
423,2025-11-01T13:32:46.542648,B
424,2025-11-01T13:32:47.542651,T
425,2025-11-01T13:32:48.542655,T
426,2025-11-01T13:32:49.542659,P
427,2025-11-01T13:32:50.542662,P
428,2025-11-01T13:32:51.542666,P
429,2025-11-01T13:32:52.542669,B
430,2025-11-01T13:32:53.542672,P
431,2025-11-01T13:32:54.542676,P
432,2025-11-01T13:32:55.542680,P
433,2025-11-01T13:32:56.542683,P
434,2025-11-01T13:32:57.542687,B
435,2025-11-01T13:32:58.542690,P
436,2025-11-01T13:32:59.542693,B
437,2025-11-01T13:33:00.542697,P
438,2025-11-01T13:33:01.542700,B
439,2025-11-01T13:33:02.542704,T
440,2025-11-01T13:33:03.542707,B
441,2025-11-01T13:33:04.542710,B
442,2025-11-01T13:33:05.542714,P
443,2025-11-01T13:33:06.542717,P
444,2025-11-01T13:33:07.542721,B
445,2025-11-01T13:33:08.542724,B
446,2025-11-01T13:33:09.542728,B
447,2025-11-01T13:33:10.542731,P
448,2025-11-01T13:33:11.542735,B
449,2025-11-01T13:33:12.542738,B
450,2025-11-01T13:33:13.542741,B
451,2025-11-01T13:33:14.542745,B
452,2025-11-01T13:33:15.542748,B
453,2025-11-01T13:33:16.542751,B
454,2025-11-01T13:33:17.542755,B
455,2025-11-01T13:33:18.542758,P
456,2025-11-01T13:33:19.542761,B
457,2025-11-01T13:33:20.542765,B
458,2025-11-01T13:33:21.542768,T
459,2025-11-01T13:33:22.542771,P
460,2025-11-01T13:33:23.542775,P
461,2025-11-01T13:33:24.542779,B
462,2025-11-01T13:33:25.542782,B
463,2025-11-01T13:33:26.542785,P
464,2025-11-01T13:33:27.542789,T
465,2025-11-01T13:33:28.542792,P
466,2025-11-01T13:33:29.542795,B
467,2025-11-01T13:33:30.542799,T
468,2025-11-01T13:33:31.542802,B
469,2025-11-01T13:33:32.542805,P
470,2025-11-01T13:33:33.542809,B
471,2025-11-01T13:33:34.542812,B
472,2025-11-01T13:33:35.542815,B
473,2025-11-01T13:33:36.542819,P
474,2025-11-01T13:33:37.542822,B
475,2025-11-01T13:33:38.542826,P
476,2025-11-01T13:33:39.542829,P
477,2025-11-01T13:33:40.542833,B
478,2025-11-01T13:33:41.542836,B
479,2025-11-01T13:33:42.542839,P
480,2025-11-01T13:33:43.542843,P
481,2025-11-01T13:33:44.542846,P
482,2025-11-01T13:33:45.542850,T
483,2025-11-01T13:33:46.542854,B
484,2025-11-01T13:33:47.542857,P
485,2025-11-01T13:33:48.542905,B
486,2025-11-01T13:33:49.542909,B
487,2025-11-01T13:33:50.542913,B
488,2025-11-01T13:33:51.542916,B
489,2025-11-01T13:33:52.542920,B
490,2025-11-01T13:33:53.542924,P
491,2025-11-01T13:33:54.542927,B
492,2025-11-01T13:33:55.542931,B
493,2025-11-01T13:33:56.542934,B
494,2025-11-01T13:33:57.542937,P
495,2025-11-01T13:33:58.542941,P
496,2025-11-01T13:33:59.542944,P
497,2025-11-01T13:34:00.542947,B
498,2025-11-01T13:34:01.542951,P
499,2025-11-01T13:34:02.542954,P
500,2025-11-01T13:34:03.542958,B
501,2025-11-01T13:34:04.542961,P
502,2025-11-01T13:34:05.542964,T
503,2025-11-01T13:34:06.542968,P
504,2025-11-01T13:34:07.542971,B
505,2025-11-01T13:34:08.542975,B
506,2025-11-01T13:34:09.542978,B
507,2025-11-01T13:34:10.542981,B
508,2025-11-01T13:34:11.542985,B
509,2025-11-01T13:34:12.542988,B
510,2025-11-01T13:34:13.542992,B
511,2025-11-01T13:34:14.542995,B
512,2025-11-01T13:34:15.542998,B
513,2025-11-01T13:34:16.543002,B
514,2025-11-01T13:34:17.543005,B
515,2025-11-01T13:34:18.543008,B
516,2025-11-01T13:34:19.543012,B
517,2025-11-01T13:34:20.543015,P
518,2025-11-01T13:34:21.543018,P
519,2025-11-01T13:34:22.543022,B
520,2025-11-01T13:34:23.543025,P
521,2025-11-01T13:34:24.543028,P
522,2025-11-01T13:34:25.543032,P
523,2025-11-01T13:34:26.543035,B
524,2025-11-01T13:34:27.543039,P
525,2025-11-01T13:34:28.543042,P
526,2025-11-01T13:34:29.543045,B
527,2025-11-01T13:34:30.543049,P
528,2025-11-01T13:34:31.543052,T
529,2025-11-01T13:34:32.543055,B
530,2025-11-01T13:34:33.543059,P
531,2025-11-01T13:34:34.543062,B
532,2025-11-01T13:34:35.543065,B
533,2025-11-01T13:34:36.543069,P
534,2025-11-01T13:34:37.543072,P
535,2025-11-01T13:34:38.543076,B
536,2025-11-01T13:34:39.543079,B
537,2025-11-01T13:34:40.543083,P
538,2025-11-01T13:34:41.543086,B
539,2025-11-01T13:34:42.543089,P
540,2025-11-01T13:34:43.543092,P
541,2025-11-01T13:34:44.543096,B
542,2025-11-01T13:34:45.543099,P
543,2025-11-01T13:34:46.543102,P
544,2025-11-01T13:34:47.543106,B
545,2025-11-01T13:34:48.543109,P
546,2025-11-01T13:34:49.543113,P
547,2025-11-01T13:34:50.543116,P
548,2025-11-01T13:34:51.543119,B
549,2025-11-01T13:34:52.543123,P
550,2025-11-01T13:34:53.543126,B
551,2025-11-01T13:34:54.543129,B
552,2025-11-01T13:34:55.543133,P
553,2025-11-01T13:34:56.543136,B
554,2025-11-01T13:34:57.543139,B
555,2025-11-01T13:34:58.543144,P
556,2025-11-01T13:34:59.543147,P
557,2025-11-01T13:35:00.543150,B
558,2025-11-01T13:35:01.543154,P
559,2025-11-01T13:35:02.543157,T
560,2025-11-01T13:35:03.543160,B
561,2025-11-01T13:35:04.543164,P
562,2025-11-01T13:35:05.543167,P
563,2025-11-01T13:35:06.543171,B
564,2025-11-01T13:35:07.543174,P
565,2025-11-01T13:35:08.543177,P
566,2025-11-01T13:35:09.543181,B
567,2025-11-01T13:35:10.543184,P
568,2025-11-01T13:35:11.543187,B
569,2025-11-01T13:35:12.543191,B
570,2025-11-01T13:35:13.543194,B
571,2025-11-01T13:35:14.543197,P
572,2025-11-01T13:35:15.543201,P
573,2025-11-01T13:35:16.543204,B
574,2025-11-01T13:35:17.543207,P
575,2025-11-01T13:35:18.543211,B
576,2025-11-01T13:35:19.543214,T
577,2025-11-01T13:35:20.543218,P
578,2025-11-01T13:35:21.543221,P
579,2025-11-01T13:35:22.543224,B
580,2025-11-01T13:35:23.543228,B
581,2025-11-01T13:35:24.543231,B
582,2025-11-01T13:35:25.543234,P
583,2025-11-01T13:35:26.543238,B
584,2025-11-01T13:35:27.543241,B
585,2025-11-01T13:35:28.543244,P
586,2025-11-01T13:35:29.543248,P
587,2025-11-01T13:35:30.543251,P
588,2025-11-01T13:35:31.543254,B
589,2025-11-01T13:35:32.543258,T
590,2025-11-01T13:35:33.543261,P
591,2025-11-01T13:35:34.543264,B
592,2025-11-01T13:35:35.543268,P
593,2025-11-01T13:35:36.543271,B
594,2025-11-01T13:35:37.543275,P
595,2025-11-01T13:35:38.543278,T
596,2025-11-01T13:35:39.543281,P
597,2025-11-01T13:35:40.543285,P
598,2025-11-01T13:35:41.543288,P
599,2025-11-01T13:35:42.543291,B
600,2025-11-01T13:35:43.543295,B
601,2025-11-01T13:35:44.543298,B
602,2025-11-01T13:35:45.543301,B
603,2025-11-01T13:35:46.543305,B
604,2025-11-01T13:35:47.543308,B
605,2025-11-01T13:35:48.543311,T
606,2025-11-01T13:35:49.543315,T
607,2025-11-01T13:35:50.543318,B
608,2025-11-01T13:35:51.543321,B
609,2025-11-01T13:35:52.543325,P
610,2025-11-01T13:35:53.543328,P
611,2025-11-01T13:35:54.543331,B
612,2025-11-01T13:35:55.543335,B
613,2025-11-01T13:35:56.543338,T
614,2025-11-01T13:35:57.543342,P
615,2025-11-01T13:35:58.543345,B
616,2025-11-01T13:35:59.543348,B
617,2025-11-01T13:36:00.543352,T
618,2025-11-01T13:36:01.543355,T
619,2025-11-01T13:36:02.543358,B
620,2025-11-01T13:36:03.543362,P
621,2025-11-01T13:36:04.543365,B
622,2025-11-01T13:36:05.543370,B
623,2025-11-01T13:36:06.543373,B
624,2025-11-01T13:36:07.543376,P
625,2025-11-01T13:36:08.543380,B
626,2025-11-01T13:36:09.543383,P
627,2025-11-01T13:36:10.543386,B
628,2025-11-01T13:36:11.543390,B
629,2025-11-01T13:36:12.543393,T
630,2025-11-01T13:36:13.543396,P
631,2025-11-01T13:36:14.543400,P
632,2025-11-01T13:36:15.543403,P
633,2025-11-01T13:36:16.543407,B
634,2025-11-01T13:36:17.543410,B
635,2025-11-01T13:36:18.543414,B
636,2025-11-01T13:36:19.543417,B
637,2025-11-01T13:36:20.543420,B
638,2025-11-01T13:36:21.543424,B
639,2025-11-01T13:36:22.543427,B
640,2025-11-01T13:36:23.543430,P
641,2025-11-01T13:36:24.543434,B
642,2025-11-01T13:36:25.543437,T
643,2025-11-01T13:36:26.543440,P
644,2025-11-01T13:36:27.543444,P
645,2025-11-01T13:36:28.543447,B
646,2025-11-01T13:36:29.543450,B
647,2025-11-01T13:36:30.543454,B
648,2025-11-01T13:36:31.543457,T
649,2025-11-01T13:36:32.543460,P
650,2025-11-01T13:36:33.543464,P
651,2025-11-01T13:36:34.543467,B
652,2025-11-01T13:36:35.543470,B
653,2025-11-01T13:36:36.543474,B
654,2025-11-01T13:36:37.543477,B
655,2025-11-01T13:36:38.543481,T
656,2025-11-01T13:36:39.543484,B
657,2025-11-01T13:36:40.543488,B
658,2025-11-01T13:36:41.543491,B
659,2025-11-01T13:36:42.543495,P
660,2025-11-01T13:36:43.543498,B
661,2025-11-01T13:36:44.543501,B
662,2025-11-01T13:36:45.543504,B
663,2025-11-01T13:36:46.543508,B
664,2025-11-01T13:36:47.543511,B
665,2025-11-01T13:36:48.543514,B
666,2025-11-01T13:36:49.543518,P
667,2025-11-01T13:36:50.543521,B
668,2025-11-01T13:36:51.543524,P
669,2025-11-01T13:36:52.543528,P
670,2025-11-01T13:36:53.543531,B
671,2025-11-01T13:36:54.543534,P
672,2025-11-01T13:36:55.543538,B
673,2025-11-01T13:36:56.543542,P
674,2025-11-01T13:36:57.543545,T
675,2025-11-01T13:36:58.543549,P
676,2025-11-01T13:36:59.543552,B
677,2025-11-01T13:37:00.543555,P
678,2025-11-01T13:37:01.543559,P
679,2025-11-01T13:37:02.543562,B
680,2025-11-01T13:37:03.543565,B
681,2025-11-01T13:37:04.543569,P
682,2025-11-01T13:37:05.543572,P
683,2025-11-01T13:37:06.543576,B
684,2025-11-01T13:37:07.543579,B
685,2025-11-01T13:37:08.543583,B
686,2025-11-01T13:37:09.543586,P
687,2025-11-01T13:37:10.543590,B
688,2025-11-01T13:37:11.543593,P
689,2025-11-01T13:37:12.543596,B
690,2025-11-01T13:37:13.543600,P
691,2025-11-01T13:37:14.543603,B
692,2025-11-01T13:37:15.543606,B
693,2025-11-01T13:37:16.543610,B
694,2025-11-01T13:37:17.543613,P
695,2025-11-01T13:37:18.543617,P
696,2025-11-01T13:37:19.543620,P
697,2025-11-01T13:37:20.543623,P
698,2025-11-01T13:37:21.543627,B
699,2025-11-01T13:37:22.543630,B
